,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
6125,"Sandal cao gót nữ, dép đi học quai ngang đính hạt xoàn đế vuông 5p - Mã H06",135000.0,VUÔNG,Giày Dép Nữ/Giày Cao Gót,216,5824,4.9,96,6,2,0,0,104,62,54,Giày Dép Nữ
6126,DÉP LÔNG QUAI NGANG NHIỀU MÀU,45000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,669,435,0.0,0,0,0,0,0,188,0,0,Giày Dép Nam
6127,Dép quai chéo dù trắng đen đế trắng nam và nữ size từ 35 nữ đến 43 nam,79000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,187,15846,4.8,65,5,0,1,2,73,23,17,Giày Dép Nam
6128,Giày VaN OLD SKOOL học sinh cao cấp loại đẹp,105000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,523,6850,4.6,134,21,8,4,5,172,94,72,Giày Dép Nam
6129,Giày Mũi Vuông Nữ Cao 3 Phân Màu Kem a7,69000.0,VUÔNG,Giày Dép Nữ/Giày Cao Gót,904,2273,0.0,0,0,0,0,0,402,0,0,Giày Dép Nữ
6130,Giày nữ vải thoáng khí đế siêu êm SPIIY 550 2 màu đen và trắng mới về,48000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,888,472,4.8,255,23,8,1,5,292,133,108,Giày Dép Nam
6131,Giày Nữ Thể Thao Basic Viền Nhiều Màu Hot 555,98000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,1500,4476,4.8,438,33,11,7,4,493,345,296,Giày Dép Nam
6132,"Dép HM hàng super fullbox, bill, túi giấy form rộng",365000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Khác,410,175,4.8,123,4,5,0,2,134,73,61,Giày Dép Nam
6133,Dép Trung Niên Nữ SẴN SIZE 35  Đế Đúc 5p Da Mềm Đính Đá - Đi Tiệc - RẺ ĐẸP AT06 AT07,99000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,156,3,4.9,57,3,1,1,0,62,35,25,Giày Dép Nam
6134,GIÀY ĐỐC NỮ ĐẾ RĂNG CƯA VINTAGE HOT TREND HÀN QUỐC,113000.0,VUÔNG,Giày Dép Nữ/Giày Đế Bằng/Giày Oxford & Giày Buộc Dây,303,360,4.8,124,10,2,1,2,139,86,69,Giày Dép Nữ
